phase,iteration,latency_ms
inference,1,39.283716
inference,2,39.286807
inference,3,39.345661
inference,4,39.307517
inference,5,39.276035
inference,6,39.290601
inference,7,39.241074
inference,8,39.266629
inference,9,39.442343
inference,10,39.317265
inference,11,39.259260
inference,12,39.431441
inference,13,39.300608
inference,14,39.320356
inference,15,39.664088
inference,16,39.407270
inference,17,39.292390
inference,18,39.126095
inference,19,39.358427
inference,20,39.269034
inference,21,39.304439
inference,22,39.304865
inference,23,39.185154
inference,24,39.399885
inference,25,39.387114
inference,26,39.382617
inference,27,39.394130
inference,28,39.341807
inference,29,39.286931
inference,30,39.341215
inference,31,39.371605
inference,32,39.297942
inference,33,39.344991
inference,34,39.314830
inference,35,39.385108
inference,36,39.302486
inference,37,39.275297
inference,38,39.330971
inference,39,39.393270
inference,40,39.426715
inference,41,39.333562
inference,42,39.356031
inference,43,39.445501
inference,44,39.370098
inference,45,39.387070
inference,46,39.453442
inference,47,39.289086
inference,48,39.328213
inference,49,39.387274
inference,50,39.386700
inference,51,39.380740
inference,52,39.423513
inference,53,39.381369
inference,54,39.268893
inference,55,39.312592
inference,56,39.405153
inference,57,39.469581
inference,58,39.428696
inference,59,39.481234
inference,60,39.286776
inference,61,39.417097
inference,62,39.317444
inference,63,39.316519
inference,64,39.486689
inference,65,39.392147
inference,66,39.670632
inference,67,39.430127
inference,68,39.303766
inference,69,39.335120
inference,70,39.345596
inference,71,39.432496
inference,72,39.431015
inference,73,39.362662
inference,74,39.218607
inference,75,39.335065
inference,76,39.516933
inference,77,39.328697
inference,78,39.399661
inference,79,39.381578
inference,80,39.405325
inference,81,39.311762
inference,82,39.399809
inference,83,39.445730
inference,84,39.409434
inference,85,39.360749
inference,86,39.479172
inference,87,39.539864
inference,88,39.251730
inference,89,39.357215
inference,90,39.499588
inference,91,39.365673
inference,92,39.305759
inference,93,39.272368
inference,94,39.265890
inference,95,39.329506
inference,96,39.319049
inference,97,39.367376
inference,98,39.319974
inference,99,39.365877
inference,100,39.204069
end_to_end,1,58.694169
end_to_end,2,58.558253
end_to_end,3,58.372640
end_to_end,4,58.309171
end_to_end,5,58.348837
end_to_end,6,58.256752
end_to_end,7,58.281554
end_to_end,8,58.279352
end_to_end,9,58.543780
end_to_end,10,58.289069
end_to_end,11,58.462134
end_to_end,12,58.206425
end_to_end,13,58.430538
end_to_end,14,58.428674
end_to_end,15,58.455137
end_to_end,16,58.549500
end_to_end,17,58.440829
end_to_end,18,58.506520
end_to_end,19,58.453879
end_to_end,20,58.366272
end_to_end,21,58.345745
end_to_end,22,57.998908
end_to_end,23,58.024230
end_to_end,24,57.942879
end_to_end,25,58.047682
end_to_end,26,58.209531
end_to_end,27,58.004461
end_to_end,28,57.993152
end_to_end,29,58.033614
end_to_end,30,57.988931
end_to_end,31,58.033602
end_to_end,32,58.086298
end_to_end,33,58.103216
end_to_end,34,58.072860
end_to_end,35,58.294886
end_to_end,36,58.141660
end_to_end,37,58.073969
end_to_end,38,58.121097
end_to_end,39,58.057200
end_to_end,40,58.111138
end_to_end,41,58.025696
end_to_end,42,58.092980
end_to_end,43,58.186104
end_to_end,44,58.067973
end_to_end,45,57.962243
end_to_end,46,58.126168
end_to_end,47,57.934164
end_to_end,48,58.048360
end_to_end,49,58.058855
end_to_end,50,58.010248
end_to_end,51,58.054525
end_to_end,52,58.119883
end_to_end,53,58.047879
end_to_end,54,58.181393
end_to_end,55,57.964324
end_to_end,56,57.992645
end_to_end,57,57.911070
end_to_end,58,58.004565
end_to_end,59,58.035051
end_to_end,60,58.013265
end_to_end,61,57.980261
end_to_end,62,58.016708
end_to_end,63,57.985259
end_to_end,64,58.046102
end_to_end,65,57.953532
end_to_end,66,58.096306
end_to_end,67,58.114355
end_to_end,68,57.968086
end_to_end,69,58.159520
end_to_end,70,58.296534
end_to_end,71,58.272026
end_to_end,72,58.019249
end_to_end,73,58.188915
end_to_end,74,58.087459
end_to_end,75,58.092494
end_to_end,76,58.018064
end_to_end,77,58.201409
end_to_end,78,58.062007
end_to_end,79,58.278653
end_to_end,80,57.929751
end_to_end,81,58.043719
end_to_end,82,58.198577
end_to_end,83,58.098521
end_to_end,84,58.178561
end_to_end,85,58.045933
end_to_end,86,58.325332
end_to_end,87,58.403150
end_to_end,88,58.174230
end_to_end,89,58.073607
end_to_end,90,58.064277
end_to_end,91,57.928836
end_to_end,92,58.093154
end_to_end,93,57.889427
end_to_end,94,58.095486
end_to_end,95,57.928632
end_to_end,96,58.005765
end_to_end,97,57.956324
end_to_end,98,58.048562
end_to_end,99,57.988384
end_to_end,100,57.984947
