phase,iteration,latency_ms
inference,1,42.716088
inference,2,42.568517
inference,3,42.456927
inference,4,42.581091
inference,5,42.722532
inference,6,42.622071
inference,7,42.522833
inference,8,42.492832
inference,9,42.806084
inference,10,42.558571
inference,11,42.673587
inference,12,42.582940
inference,13,42.469831
inference,14,42.573144
inference,15,42.644310
inference,16,42.344019
inference,17,42.542089
inference,18,42.387833
inference,19,42.690160
inference,20,42.531515
inference,21,42.547996
inference,22,42.589366
inference,23,42.562385
inference,24,42.569163
inference,25,42.557849
inference,26,42.580922
inference,27,42.574996
inference,28,42.507312
inference,29,42.651679
inference,30,42.543071
inference,31,42.548181
inference,32,42.522235
inference,33,42.722621
inference,34,42.717158
inference,35,43.177556
inference,36,43.053947
inference,37,43.071002
inference,38,42.857766
inference,39,43.276739
inference,40,43.078706
inference,41,42.929227
inference,42,43.155946
inference,43,42.906691
inference,44,42.953449
inference,45,43.015151
inference,46,42.871691
inference,47,42.959690
inference,48,43.080094
inference,49,42.957930
inference,50,42.950041
inference,51,43.117279
inference,52,43.002022
inference,53,42.950820
inference,54,43.059281
inference,55,43.009483
inference,56,43.183479
inference,57,43.082815
inference,58,43.075945
inference,59,43.054612
inference,60,43.415216
inference,61,44.955463
inference,62,42.925428
inference,63,42.874985
inference,64,43.000390
inference,65,43.130221
inference,66,43.137665
inference,67,42.979502
inference,68,42.987761
inference,69,43.064426
inference,70,42.936984
inference,71,43.046630
inference,72,43.045260
inference,73,43.227793
inference,74,42.988631
inference,75,43.212442
inference,76,43.075740
inference,77,43.205812
inference,78,43.177275
inference,79,43.001740
inference,80,43.038962
inference,81,43.176218
inference,82,43.203087
inference,83,43.102793
inference,84,43.466341
inference,85,43.185107
inference,86,43.009091
inference,87,43.152274
inference,88,43.056350
inference,89,43.201125
inference,90,43.016425
inference,91,43.147126
inference,92,42.928500
inference,93,42.980722
inference,94,43.124126
inference,95,43.048869
inference,96,43.099478
inference,97,43.053276
inference,98,43.155514
inference,99,43.092794
inference,100,43.019925
end_to_end,1,62.234086
end_to_end,2,62.421582
end_to_end,3,62.127902
end_to_end,4,62.145792
end_to_end,5,62.035571
end_to_end,6,61.974221
end_to_end,7,62.516578
end_to_end,8,62.457430
end_to_end,9,62.148306
end_to_end,10,62.401283
end_to_end,11,62.231323
end_to_end,12,62.324840
end_to_end,13,62.181343
end_to_end,14,62.205527
end_to_end,15,62.346469
end_to_end,16,62.262305
end_to_end,17,62.155140
end_to_end,18,62.249694
end_to_end,19,62.195861
end_to_end,20,62.105881
end_to_end,21,62.058068
end_to_end,22,62.112974
end_to_end,23,62.162212
end_to_end,24,62.344133
end_to_end,25,62.305430
end_to_end,26,62.319596
end_to_end,27,62.232209
end_to_end,28,62.263653
end_to_end,29,62.122675
end_to_end,30,62.135285
end_to_end,31,62.281579
end_to_end,32,62.152118
end_to_end,33,62.299134
end_to_end,34,62.272875
end_to_end,35,62.305485
end_to_end,36,62.306670
end_to_end,37,62.095842
end_to_end,38,62.121526
end_to_end,39,62.187468
end_to_end,40,62.279891
end_to_end,41,62.161023
end_to_end,42,62.295187
end_to_end,43,62.702179
end_to_end,44,62.244558
end_to_end,45,62.434444
end_to_end,46,62.189929
end_to_end,47,62.303964
end_to_end,48,62.228169
end_to_end,49,62.236743
end_to_end,50,62.300576
end_to_end,51,62.166745
end_to_end,52,62.196726
end_to_end,53,62.147542
end_to_end,54,62.261965
end_to_end,55,62.485811
end_to_end,56,62.241889
end_to_end,57,62.272703
end_to_end,58,62.232277
end_to_end,59,65.870151
end_to_end,60,62.173501
end_to_end,61,62.272351
end_to_end,62,62.050818
end_to_end,63,62.222093
end_to_end,64,62.159242
end_to_end,65,62.282573
end_to_end,66,62.494142
end_to_end,67,62.318331
end_to_end,68,62.264610
end_to_end,69,62.118835
end_to_end,70,62.286535
end_to_end,71,62.130075
end_to_end,72,62.449974
end_to_end,73,62.344254
end_to_end,74,62.264848
end_to_end,75,62.405346
end_to_end,76,62.121426
end_to_end,77,62.020020
end_to_end,78,62.202923
end_to_end,79,62.307440
end_to_end,80,62.257423
end_to_end,81,62.303533
end_to_end,82,62.432382
end_to_end,83,62.179572
end_to_end,84,62.091130
end_to_end,85,62.280386
end_to_end,86,62.254590
end_to_end,87,62.282588
end_to_end,88,62.337733
end_to_end,89,62.338251
end_to_end,90,62.317011
end_to_end,91,62.278790
end_to_end,92,62.070535
end_to_end,93,62.222865
end_to_end,94,62.378491
end_to_end,95,62.295123
end_to_end,96,62.295511
end_to_end,97,62.246272
end_to_end,98,62.217217
end_to_end,99,62.173181
end_to_end,100,62.345973
